,Gubun,GPrice,ratio
125,서울특별시강남구개포동01400000_20,61500,65.19823788546255
124,서울특별시강남구개포동06560000_20,75000,64.36170212765957
87,서울특별시강남구개포동01890000_30,182000,61.943319838056674
79,서울특별시강남구개포동01890000_50,189500,60.3921568627451
114,서울특별시강남구개포동01380000_30,107300,59.599999999999994
120,서울특별시강남구개포동06560000_40,99800,58.55614973262032
107,서울특별시강남구개포동01890000_40,137000,57.67366720516963
108,서울특별시강남구개포동06560000_50,136000,55.42168674698795
62,서울특별시강남구도곡동09670000_80,225000,53.78151260504202
24,서울특별시강남구청담동01340015_100,327000,52.459016393442624
75,서울특별시강남구개포동01410000_40,195000,52.338530066815146
105,서울특별시강남구수서동07080000_40,150000,52.10084033613446
95,서울특별시강남구도곡동09670000_50,170000,51.28205128205128
40,서울특별시강남구압구정동04900000_70,270000,50.83333333333333
61,서울특별시강남구개포동01410000_50,226000,49.306930693069305
59,서울특별시강남구도곡동04640000_50,230000,49.162011173184354
99,서울특별시강남구개포동01410000_30,163000,48.75776397515528
93,서울특별시강남구역삼동07220000_80,171000,48.69565217391305
26,서울특별시강남구삼성동00110000_120,318000,48.36601307189542
98,서울특별시강남구수서동07080000_60,165000,48.167539267015705
41,서울특별시강남구일원동07180000_100,265000,48.0
32,서울특별시강남구청담동01080000_80,288000,47.953216374269005
28,서울특별시강남구압구정동04900000_60,307000,47.486033519553075
102,서울특별시강남구일원동07110000_50,157000,47.15447154471545
56,서울특별시강남구도곡동09630000_80,235500,46.728971962616825
127,서울특별시강남구역삼동08360000_30,46000,46.72131147540984
103,서울특별시강남구일원동07190000_80,154000,46.51162790697674
86,서울특별시강남구일원동07310000_80,182000,46.35416666666667
77,서울특별시강남구수서동07120000_90,191000,46.28099173553719
53,서울특별시강남구개포동01790000_70,240000,46.15384615384615
97,서울특별시강남구도곡동09610000_80,170000,46.08695652173913
13,서울특별시강남구압구정동04550000_80,410000,45.76271186440678
39,서울특별시강남구개포동01850000_70,270000,45.66929133858268
37,서울특별시강남구도곡동05270000_80,278000,45.21880064829822
132,서울특별시강남구역삼동07060020_30,33700,44.95412844036697
89,서울특별시강남구논현동00220000_80,180000,44.776119402985074
60,서울특별시강남구논현동01050000_80,227500,44.50867052023121
29,서울특별시강남구도곡동00910005_120,300000,44.24242424242424
7,서울특별시강남구압구정동04470000_80,430000,44.134078212290504
54,서울특별시강남구도곡동05270000_50,240000,44.1016333938294
101,서울특별시강남구일원동07340000_70,160000,44.07582938388626
25,서울특별시강남구대치동05060000_80,320000,43.79562043795621
78,서울특별시강남구개포동01850000_80,190000,43.689320388349515
67,서울특별시강남구역삼동07550004_50,212500,43.25068870523416
36,서울특별시강남구역삼동07570000_80,279500,43.0939226519337
68,서울특별시강남구개포동01850000_50,211500,42.857142857142854
27,서울특별시강남구압구정동03970000_70,317500,42.73504273504273
116,서울특별시강남구일원동07110000_30,103000,42.63959390862944
72,서울특별시강남구역삼동07570000_50,203500,42.60355029585799
6,서울특별시강남구대치동06700000_120,440000,42.4
128,서울특별시강남구역삼동07060020_40,41000,42.10526315789473
110,서울특별시강남구개포동00120000_60,134000,42.01183431952663
12,서울특별시강남구도곡동05270000_110,410000,42.0
55,서울특별시강남구일원동06150001_100,238000,41.73913043478261
63,서울특별시강남구도곡동09340010_80,225000,41.53846153846154
121,서울특별시강남구수서동07360000_30,95000,41.49443561208267
70,서울특별시강남구일원동07160000_130,210000,40.98360655737705
130,서울특별시강남구논현동00580002_30,39000,40.89068825910931
20,서울특별시강남구도곡동05270000_120,349000,40.88669950738916
35,서울특별시강남구삼성동00160002_80,280000,40.87837837837838
11,서울특별시강남구압구정동04430000_80,420000,40.845070422535215
113,서울특별시강남구삼성동00160002_30,126000,40.828402366863905
58,서울특별시강남구일원동07350000_80,230000,40.67796610169492
