,RealGubun,GPrice
32,서울특별시 강남구 압구정동 369-1_190,800000
33,서울특별시 강남구 압구정동 447_80,430000
34,서울특별시 강남구 압구정동 455_80,410000
22,서울특별시 강남구 대치동 888_110,380000
21,서울특별시 강남구 대치동 511_120,380000
20,서울특별시 강남구 대치동 503_120,375000
25,서울특별시 강남구 도곡동 527_120,349000
49,서울특별시 강남구 청담동 134-15_100,327000
27,서울특별시 강남구 삼성동 16-2_80,280000
23,서울특별시 강남구 대치동 985_110,280000
42,서울특별시 강남구 역삼동 757_80,279500
39,서울특별시 강남구 역삼동 754-1_80,273000
36,서울특별시 강남구 압구정동 490_70,270000
9,서울특별시 강남구 개포동 185_70,270000
45,서울특별시 강남구 일원동 718_100,265000
18,서울특별시 강남구 대치동 1014-3_90,254000
41,서울특별시 강남구 역삼동 755-4_80,250000
35,서울특별시 강남구 압구정동 490_40,243000
6,서울특별시 강남구 개포동 179_70,240000
26,서울특별시 강남구 도곡동 963_80,235500
24,서울특별시 강남구 도곡동 464_50,230000
15,서울특별시 강남구 논현동 105_80,227500
5,서울특별시 강남구 개포동 141_50,226000
19,서울특별시 강남구 대치동 316_80,220000
40,서울특별시 강남구 역삼동 755-4_50,212500
7,서울특별시 강남구 개포동 185_50,211500
44,서울특별시 강남구 일원동 716_130,210000
8,서울특별시 강남구 개포동 185_60,200000
4,서울특별시 강남구 개포동 141_40,195000
38,서울특별시 강남구 역삼동 754-1_50,195000
10,서울특별시 강남구 개포동 185_80,190000
31,서울특별시 강남구 수서동 795_80,186500
17,서울특별시 강남구 논현동 22_80,180000
48,서울특별시 강남구 자곡동 686_80,180000
37,서울특별시 강남구 역삼동 722_80,171000
30,서울특별시 강남구 수서동 795_50,170000
3,서울특별시 강남구 개포동 141_30,163000
47,서울특별시 강남구 일원동 719_80,154000
11,서울특별시 강남구 개포동 189_40,137000
14,서울특별시 강남구 개포동 656_50,136000
29,서울특별시 강남구 수서동 746_40,135000
46,서울특별시 강남구 일원동 719_50,131000
2,서울특별시 강남구 개포동 138_30,107300
0,서울특별시 강남구 개포동 12_30,102500
28,서울특별시 강남구 수서동 746_30,102000
1,서울특별시 강남구 개포동 12_50,100000
13,서울특별시 강남구 개포동 656_40,99800
12,서울특별시 강남구 개포동 656_20,75000
43,서울특별시 강남구 역삼동 836_30,46000
16,서울특별시 강남구 논현동 221-7_10,20500
